msg_id,app_protocol,src_app,dst_app,message,timestamp,src_port,dst_port
101,HTTP,client_browser,web_server,GET /index.html,1.017798,42069,80
102,HTTP,web_server,client_browser,HTTP/1.1 200 OK,1.026394,80,42069
103,HTTP,client_browser,web_server,GET /index.html,1.029713,42069,80
104,HTTP,web_server,client_browser,HTTP/1.1 200 OK,1.043027,80,42069
105,HTTP,client_browser,web_server,GET /contact,1.045681,42069,80
106,HTTP,web_server,client_browser,HTTP/1.1 404 Not Found,1.054324,80,42069
107,HTTP,client_browser,web_server,GET /logo.png,1.05674,42069,80
108,HTTP,web_server,client_browser,HTTP/1.1 301 Moved,1.073301,80,42069
109,HTTP,client_browser,web_server,GET /about,1.080743,42069,80
110,HTTP,web_server,client_browser,HTTP/1.1 404 Not Found,1.084873,80,42069
111,HTTP,client_browser,web_server,GET /logo.png,1.091645,42069,80
112,HTTP,web_server,client_browser,HTTP/1.1 500 Server Error,1.102497,80,42069
113,HTTP,client_browser,web_server,GET /about,1.114623,42069,80
114,HTTP,web_server,client_browser,HTTP/1.1 200 OK,1.120714,80,42069
115,HTTP,client_browser,web_server,GET /api/data,1.123126,42069,80
116,HTTP,web_server,client_browser,HTTP/1.1 301 Moved,1.124614,80,42069
117,HTTP,client_browser,web_server,GET /index.html,1.128519,42069,80
118,HTTP,web_server,client_browser,HTTP/1.1 404 Not Found,1.132034,80,42069
119,HTTP,client_browser,web_server,GET /about,1.144422,42069,80
120,HTTP,web_server,client_browser,HTTP/1.1 301 Moved,1.149271,80,42069
121,HTTP,client_browser,web_server,GET /index.html,1.159956,42069,80
122,HTTP,web_server,client_browser,HTTP/1.1 301 Moved,1.163373,80,42069
123,HTTP,client_browser,web_server,GET /contact,1.175649,42069,80
124,HTTP,web_server,client_browser,HTTP/1.1 500 Server Error,1.184622,80,42069
125,HTTP,client_browser,web_server,GET /home,1.201492,42069,80
126,HTTP,web_server,client_browser,HTTP/1.1 301 Moved,1.218826,80,42069
127,HTTP,client_browser,web_server,GET /home,1.224121,42069,80
128,HTTP,web_server,client_browser,HTTP/1.1 200 OK,1.23332,80,42069
129,HTTP,client_browser,web_server,GET /api/data,1.237156,42069,80
130,HTTP,web_server,client_browser,HTTP/1.1 404 Not Found,1.247877,80,42069
